DATE,TIME,LINK,CURRENCY,IMPACT,DESCRIPTION,DETAIL,ACTUAL,FORECAST,PREVIOUS,GRAPH
Tue Dec 31,All Day,,JPY,Non-Economic,Bank Holiday,,,,,
Tue Dec 31,9:30am,,CNY,High Impact Expected,Manufacturing PMI,,50.1,50.3,50.3,
Tue Dec 31,9:30am,,CNY,Medium Impact Expected,Non-Manufacturing PMI,,52.2,50.2,50.0,
Tue Dec 31,All Day,,EUR,Non-Economic,German Bank Holiday,,,,,
Tue Dec 31,10:00pm,,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,,4.2%,4.1%,4.6%,
Tue Dec 31,10:00pm,,USD,Low Impact Expected,HPI m/m,,0.4%,0.5%,0.7%,
Mon Dec 30,8:30am,,JPY,Low Impact Expected,Final Manufacturing PMI,,49.6,49.5,49.5,
Mon Dec 30,4:00pm,,CHF,Low Impact Expected,KOF Economic Barometer,,99.5,101.1,Revised from 101.8,
Mon Dec 30,4:00pm,,EUR,Medium Impact Expected,Spanish Flash CPI y/y,,2.8%,2.6%,2.4%,
Mon Dec 30,10:45pm,,USD,Medium Impact Expected,Chicago PMI,,36.9,42.7,40.2,
Mon Dec 30,11:00pm,,USD,Medium Impact Expected,Pending Home Sales m/m,,2.2%,0.9%,Revised from 2.0%,
Fri Dec 27,7:30am,,JPY,Medium Impact Expected,Tokyo Core CPI y/y,,2.4%,2.5%,2.2%,
Fri Dec 27,7:30am,,JPY,Low Impact Expected,Unemployment Rate,,2.5%,2.5%,2.5%,
Fri Dec 27,7:50am,,JPY,Low Impact Expected,BOJ Summary of Opinions,,,,,
Fri Dec 27,7:50am,,JPY,Low Impact Expected,Prelim Industrial Production m/m,,-2.3%,-3.4%,Revised from 3.0%,
Fri Dec 27,7:50am,,JPY,Low Impact Expected,Retail Sales y/y,,2.8%,1.5%,Revised from 1.6%,
Fri Dec 27,1:00pm,,JPY,Low Impact Expected,Housing Starts y/y,,-1.8%,-0.1%,-2.9%,
Fri Dec 27,9:30pm,,USD,Low Impact Expected,Goods Trade Balance,,-102.9B,-101.3B,Revised from -99.1B,
Fri Dec 27,9:30pm,,USD,Low Impact Expected,Prelim Wholesale Inventories m/m,,-0.2%,0.1%,Revised from 0.2%,
Fri Dec 27,11:30pm,,USD,Low Impact Expected,Natural Gas Storage,,-93B,-100B,-125B,
Thu Dec 26,All Day,,NZD,Non-Economic,Bank Holiday,,,,,
Thu Dec 26,All Day,,AUD,Non-Economic,Bank Holiday,,,,,
Thu Dec 26,All Day,,CHF,Non-Economic,Bank Holiday,,,,,
Thu Dec 26,All Day,,EUR,Non-Economic,German Bank Holiday,,,,,
Thu Dec 26,All Day,,EUR,Non-Economic,Italian Bank Holiday,,,,,
Thu Dec 26,All Day,,GBP,Non-Economic,Bank Holiday,,,,,
Thu Dec 26,All Day,,CAD,Non-Economic,Bank Holiday,,,,,
Thu Dec 26,9:30pm,,USD,High Impact Expected,Unemployment Claims,,219K,223K,220K,
Wed Dec 25,All Day,,NZD,Non-Economic,Bank Holiday,,,,,
Wed Dec 25,All Day,,AUD,Non-Economic,Bank Holiday,,,,,
Wed Dec 25,5:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Dec 25,7:50am,,JPY,Low Impact Expected,SPPI y/y,,3.0%,3.0%,2.9%,
Wed Dec 25,12:17pm,,JPY,Low Impact Expected,BOJ Gov Ueda Speaks,,,,,
Wed Dec 25,All Day,,CHF,Non-Economic,Bank Holiday,,,,,
Wed Dec 25,All Day,,EUR,Non-Economic,French Bank Holiday,,,,,
Wed Dec 25,All Day,,EUR,Non-Economic,German Bank Holiday,,,,,
Wed Dec 25,All Day,,EUR,Non-Economic,Italian Bank Holiday,,,,,
Wed Dec 25,All Day,,GBP,Non-Economic,Bank Holiday,,,,,
Wed Dec 25,All Day,,CAD,Non-Economic,Bank Holiday,,,,,
Wed Dec 25,All Day,,USD,Non-Economic,Bank Holiday,,,,,
Tue Dec 24,2:30am,,CAD,Low Impact Expected,BOC Summary of Deliberations,,,,,
Tue Dec 24,7:50am,,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,,,,
Tue Dec 24,8:30am,,AUD,Medium Impact Expected,Monetary Policy Meeting Minutes,,,,,
Tue Dec 24,12:59pm,,JPY,Low Impact Expected,BOJ Core CPI y/y,,1.7%,1.5%,1.5%,
Tue Dec 24,All Day,,EUR,Non-Economic,German Bank Holiday,,,,,
Tue Dec 24,10:59pm,,USD,Medium Impact Expected,Richmond Manufacturing Index,,-10,-10,-14,
Mon Dec 23,3:00pm,,EUR,Low Impact Expected,German Import Prices m/m,,0.9%,0.5%,0.6%,
Mon Dec 23,3:00pm,,GBP,Low Impact Expected,Current Account,,-18.1B,-22.9B,Revised from -28.4B,
Mon Dec 23,3:00pm,,GBP,Low Impact Expected,Final GDP q/q,,0.0%,0.1%,0.1%,
Mon Dec 23,3:00pm,,GBP,Low Impact Expected,Revised Business Investment q/q,,1.9%,1.2%,1.2%,
Mon Dec 23,5:00pm,,CHF,Low Impact Expected,UBS Economic Expectations,,-20.0,,-12.4,
Mon Dec 23,9:30pm,,CAD,High Impact Expected,GDP m/m,,0.3%,0.2%,Revised from 0.1%,
Mon Dec 23,9:30pm,,CAD,Low Impact Expected,IPPI m/m,,0.6%,0.3%,1.2%,
Mon Dec 23,9:30pm,,CAD,Low Impact Expected,RMPI m/m,,-0.5%,0.4%,Revised from 3.8%,
Mon Dec 23,9:30pm,,USD,Medium Impact Expected,Core Durable Goods Orders m/m,,-0.1%,0.3%,Revised from 0.1%,
Mon Dec 23,9:30pm,,USD,Medium Impact Expected,Durable Goods Orders m/m,,-1.1%,-0.3%,Revised from 0.2%,
Mon Dec 23,11:00pm,,USD,Medium Impact Expected,CB Consumer Confidence,,104.7,112.9,Revised from 111.7,
Mon Dec 23,11:00pm,,USD,Medium Impact Expected,New Home Sales,,664K,666K,Revised from 610K,
Fri Dec 20,5:00am,,USD,Low Impact Expected,TIC Long-Term Purchases,,152.3B,154.3B,216.1B,
Fri Dec 20,5:45am,,NZD,Low Impact Expected,Trade Balance,,-437M,-1951M,Revised from -1544M,
Fri Dec 20,7:30am,,JPY,Low Impact Expected,National Core CPI y/y,,2.7%,2.6%,2.3%,
Fri Dec 20,8:30am,,AUD,Low Impact Expected,Private Sector Credit m/m,,0.5%,0.5%,0.6%,
Fri Dec 20,9:00am,,CNY,Medium Impact Expected,1-y Loan Prime Rate,,3.10%,3.10%,3.10%,
Fri Dec 20,9:00am,,CNY,Medium Impact Expected,5-y Loan Prime Rate,,3.60%,3.60%,3.60%,
Fri Dec 20,10:00am,,NZD,Low Impact Expected,Credit Card Spending y/y,,-3.2%,,0.3%,
Fri Dec 20,3:00pm,,EUR,Low Impact Expected,German PPI m/m,,0.5%,0.3%,0.2%,
Fri Dec 20,3:00pm,,GBP,High Impact Expected,Retail Sales m/m,,0.2%,0.5%,-0.7%,
Fri Dec 20,3:00pm,,GBP,Low Impact Expected,Public Sector Net Borrowing,,11.2B,15.5B,Revised from 17.4B,
Fri Dec 20,7:00pm,,GBP,Low Impact Expected,CBI Realized Sales,,-15,-9,-18,
Fri Dec 20,8:30pm,,USD,Low Impact Expected,FOMC Member Daly Speaks,,,,,
Fri Dec 20,9:30pm,,CAD,High Impact Expected,Core Retail Sales m/m,,0.1%,0.2%,Revised from 0.9%,
Fri Dec 20,9:30pm,,CAD,High Impact Expected,Retail Sales m/m,,0.6%,0.7%,Revised from 0.4%,
Fri Dec 20,9:30pm,,USD,High Impact Expected,Core PCE Price Index m/m,,0.1%,0.2%,0.3%,
Fri Dec 20,9:30pm,,USD,Low Impact Expected,Personal Income m/m,,0.3%,0.4%,Revised from 0.6%,
Fri Dec 20,9:30pm,,USD,Low Impact Expected,Personal Spending m/m,,0.4%,0.5%,Revised from 0.4%,
Fri Dec 20,9:48pm,,EUR,Low Impact Expected,Belgian NBB Business Climate,,-13.8,-11.7,-11.1,
Fri Dec 20,11:00pm,,EUR,Low Impact Expected,Consumer Confidence,,-15,-14,-14,
Fri Dec 20,11:00pm,,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,,74.0,74.1,74.0,
Fri Dec 20,11:00pm,,USD,Low Impact Expected,Revised UoM Inflation Expectations,,2.8%,,2.9%,
Thu Dec 19,3:00am,,USD,High Impact Expected,Federal Funds Rate,,4.50%,4.50%,4.75%,
Thu Dec 19,3:00am,,USD,High Impact Expected,FOMC Economic Projections,,,,,
Thu Dec 19,3:00am,,USD,High Impact Expected,FOMC Statement,,,,,
Thu Dec 19,3:30am,,USD,High Impact Expected,FOMC Press Conference,,,,,
Thu Dec 19,5:45am,,NZD,High Impact Expected,GDP q/q,,-1.0%,-0.2%,Revised from -0.2%,
Thu Dec 19,8:00am,,AUD,Low Impact Expected,MI Inflation Expectations,,4.2%,,3.8%,
Thu Dec 19,8:00am,,NZD,Low Impact Expected,ANZ Business Confidence,,62.3,,64.9,
Thu Dec 19,10:52am,,JPY,High Impact Expected,BOJ Policy Rate,,<0.25%,<0.25%,<0.25%,
Thu Dec 19,10:52am,,JPY,High Impact Expected,Monetary Policy Statement,,,,,
Thu Dec 19,2:30pm,,JPY,High Impact Expected,BOJ Press Conference,,,,,
Thu Dec 19,3:00pm,,CHF,Low Impact Expected,Trade Balance,,5.42B,6.20B,Revised from 8.06B,
Thu Dec 19,3:00pm,,EUR,Low Impact Expected,German GfK Consumer Climate,,-21.3,-22.6,Revised from -23.3,
Thu Dec 19,5:02pm,,EUR,Low Impact Expected,Current Account,,25.8B,33.5B,Revised from 37.0B,
Thu Dec 19,8:00pm,,GBP,High Impact Expected,Monetary Policy Summary,,,,,
Thu Dec 19,8:00pm,,GBP,High Impact Expected,MPC Official Bank Rate Votes,,0-3-6,0-2-7,0-8-1,
Thu Dec 19,8:00pm,,GBP,High Impact Expected,Official Bank Rate,,4.75%,4.75%,4.75%,
Thu Dec 19,9:30pm,,USD,High Impact Expected,Final GDP q/q,,3.1%,2.8%,2.8%,
Thu Dec 19,9:30pm,,USD,High Impact Expected,Unemployment Claims,,220K,229K,242K,
Thu Dec 19,9:30pm,,USD,Medium Impact Expected,Final GDP Price Index q/q,,1.9%,1.9%,1.9%,
Thu Dec 19,9:30pm,,USD,Medium Impact Expected,Philly Fed Manufacturing Index,,-16.4,2.9,-5.5,
Thu Dec 19,11:00pm,,USD,Medium Impact Expected,Existing Home Sales,,4.15M,4.09M,3.96M,
Thu Dec 19,11:00pm,,USD,Low Impact Expected,CB Leading Index m/m,,0.3%,-0.1%,-0.4%,
Thu Dec 19,11:30pm,,USD,Low Impact Expected,Natural Gas Storage,,-125B,-123B,-190B,
Wed Dec 18,4:00am,,NZD,Low Impact Expected,Westpac Consumer Sentiment,,97.5,,90.8,
Wed Dec 18,5:30am,,USD,Low Impact Expected,API Weekly Statistical Bulletin,,,,,
Wed Dec 18,5:45am,,NZD,Low Impact Expected,Current Account,,-10.58B,-10.45B,Revised from -4.83B,
Wed Dec 18,7:30am,,AUD,Low Impact Expected,MI Leading Index m/m,,0.1%,,0.2%,
Wed Dec 18,7:50am,,JPY,Low Impact Expected,Trade Balance,,-0.38T,-0.45T,Revised from -0.36T,
Wed Dec 18,8:00am,,AUD,Low Impact Expected,Mid-Year Economic and Fiscal Outlook,,,,,
Wed Dec 18,3:00pm,,GBP,High Impact Expected,CPI y/y,,2.6%,2.6%,2.3%,
Wed Dec 18,3:00pm,,GBP,Low Impact Expected,Core CPI y/y,,3.5%,3.6%,3.3%,
Wed Dec 18,3:00pm,,GBP,Low Impact Expected,PPI Input m/m,,0.0%,0.2%,0.1%,
Wed Dec 18,3:00pm,,GBP,Low Impact Expected,PPI Output m/m,,0.3%,0.2%,Revised from 0.0%,
Wed Dec 18,3:00pm,,GBP,Low Impact Expected,RPI y/y,,3.6%,3.7%,3.4%,
Wed Dec 18,5:30pm,,EUR,Low Impact Expected,German Buba President Nagel Speaks,,,,,
Wed Dec 18,5:30pm,,GBP,Low Impact Expected,HPI y/y,,3.4%,3.1%,Revised from 2.9%,
Wed Dec 18,6:00pm,,EUR,Low Impact Expected,Final Core CPI y/y,,2.7%,2.7%,2.7%,
Wed Dec 18,6:00pm,,EUR,Low Impact Expected,Final CPI y/y,,2.2%,2.3%,2.3%,
Wed Dec 18,7:00pm,,GBP,Low Impact Expected,CBI Industrial Order Expectations,,-40,-22,-19,
Wed Dec 18,9:30pm,,USD,Medium Impact Expected,Building Permits,,1.51M,1.43M,1.42M,
Wed Dec 18,9:30pm,,USD,Low Impact Expected,Current Account,,-311B,-286B,Revised from -267B,
Wed Dec 18,9:30pm,,USD,Low Impact Expected,Housing Starts,,1.29M,1.35M,1.31M,
Wed Dec 18,10:00pm,,CHF,Low Impact Expected,SNB Quarterly Bulletin,,,,,
Wed Dec 18,11:30pm,,USD,Medium Impact Expected,Crude Oil Inventories,,-0.9M,-1.6M,-1.4M,
Tue Dec 17,4:20am,,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,,
Tue Dec 17,7:20am,,AUD,Low Impact Expected,Westpac Consumer Sentiment,,-2.0%,,5.3%,
Tue Dec 17,3:00pm,,GBP,High Impact Expected,Claimant Count Change,,0.3K,28.2K,Revised from 26.7K,
Tue Dec 17,3:00pm,,GBP,Medium Impact Expected,Average Earnings Index 3m/y,,5.2%,4.6%,Revised from 4.3%,
Tue Dec 17,3:00pm,,GBP,Low Impact Expected,Unemployment Rate,,4.3%,4.3%,4.3%,
Tue Dec 17,4:00pm,,CHF,Low Impact Expected,SECO Economic Forecasts,,,,,
Tue Dec 17,5:00pm,,EUR,Medium Impact Expected,German ifo Business Climate,,84.7,85.5,Revised from 85.7,
Tue Dec 17,5:00pm,,EUR,Low Impact Expected,Italian Trade Balance,,5.15B,3.22B,2.58B,
Tue Dec 17,6:00pm,,EUR,Medium Impact Expected,German ZEW Economic Sentiment,,15.7,6.8,7.4,
Tue Dec 17,6:00pm,,EUR,Low Impact Expected,Trade Balance,,6.1B,11.7B,Revised from 13.6B,
Tue Dec 17,6:00pm,,EUR,Low Impact Expected,ZEW Economic Sentiment,,17.0,12.2,12.5,
Tue Dec 17,9:30pm,,CAD,High Impact Expected,CPI m/m,,0.0%,0.1%,0.4%,
Tue Dec 17,9:30pm,,CAD,High Impact Expected,Median CPI y/y,,2.6%,2.4%,Revised from 2.5%,
Tue Dec 17,9:30pm,,CAD,High Impact Expected,Trimmed CPI y/y,,2.7%,2.6%,Revised from 2.6%,
Tue Dec 17,9:30pm,,CAD,Medium Impact Expected,Common CPI y/y,,2.0%,2.1%,2.2%,
Tue Dec 17,9:30pm,,CAD,Low Impact Expected,Foreign Securities Purchases,,21.55B,24.50B,Revised from 29.30B,
Tue Dec 17,9:30pm,,CAD,Low Impact Expected,NHPI m/m,,0.1%,0.1%,-0.4%,
Tue Dec 17,9:30pm,,USD,High Impact Expected,Core Retail Sales m/m,,0.2%,0.4%,Revised from 0.1%,
Tue Dec 17,9:30pm,,USD,High Impact Expected,Retail Sales m/m,,0.7%,0.6%,Revised from 0.4%,
Tue Dec 17,9:32pm,,CAD,Low Impact Expected,Core CPI m/m,,-0.1%,,0.4%,
Tue Dec 17,10:00pm,,CNY,Low Impact Expected,CB Leading Index m/m,,-0.1%,,-0.3%,
Tue Dec 17,10:15pm,,USD,Low Impact Expected,Capacity Utilization Rate,,76.8%,77.3%,Revised from 77.1%,
Tue Dec 17,10:15pm,,USD,Low Impact Expected,Industrial Production m/m,,-0.1%,0.3%,Revised from -0.3%,
Tue Dec 17,10:37pm,,NZD,Low Impact Expected,GDT Price Index,,-2.8%,,1.2%,
Tue Dec 17,11:00pm,,USD,Low Impact Expected,Business Inventories m/m,,0.1%,0.2%,Revised from 0.1%,
Tue Dec 17,11:00pm,,USD,Low Impact Expected,NAHB Housing Market Index,,46,47,46,
Mon Dec 16,5:30am,,NZD,Low Impact Expected,BusinessNZ Services Index,,49.5,,Revised from 46.0,
Mon Dec 16,5:45am,,NZD,Low Impact Expected,FPI m/m,,-0.1%,,-0.9%,
Mon Dec 16,6:00am,,AUD,Low Impact Expected,Flash Manufacturing PMI,,48.2,,49.4,
